2025-05-14 00:20:24.189 |  | INFO     | server:lifespan:37 - RuoYi-FastAPI开始启动
2025-05-14 00:20:24.190 |  | INFO     | config.get_db:init_create_table:21 - 初始化数据库连接...
2025-05-14 00:20:24.239 |  | INFO     | config.get_db:init_create_table:24 - 数据库连接成功
2025-05-14 00:20:24.239 |  | INFO     | config.get_redis:create_redis_pool:22 - 开始连接redis...
2025-05-14 00:20:24.241 |  | INFO     | config.get_redis:create_redis_pool:35 - redis连接成功
2025-05-14 00:20:24.295 |  | INFO     | config.get_scheduler:init_system_scheduler:134 - 开始启动定时任务...
2025-05-14 00:20:24.314 |  | INFO     | config.get_scheduler:init_system_scheduler:142 - 系统初始定时任务加载成功
2025-05-14 00:20:24.314 |  | INFO     | server:lifespan:44 - RuoYi-FastAPI启动成功
2025-05-14 00:20:25.452 | 2193c15009f84700a3ea019624f0a029 | WARNING  | module_admin.service.login_service:get_current_user:259 - 用户token已失效，请重新登录
2025-05-14 00:20:25.500 | ba3c3d72689e4594b8a838b26e392776 | INFO     | module_admin.controller.login_controller:logout:146 - 退出成功
2025-05-14 00:20:25.671 | 00093c26791c4a418c20f6d4f647c41a | INFO     | module_admin.controller.captcha_controller:get_captcha_image:34 - 编号为53809982-8a4d-4d86-a527-7337c224dbb5的会话获取图片验证码成功
2025-05-14 00:20:27.929 | 03c1f84bf18843d8816fa7c9086fbce0 | INFO     | module_admin.controller.login_controller:login:71 - 登录成功
2025-05-14 00:20:27.962 | a3b5ccd697e54d1697cbb13f5d2848a6 | INFO     | module_admin.controller.login_controller:get_login_user_info:84 - 获取成功
2025-05-14 00:20:27.986 | 77fb99b05c1a4f9fb83ad9b3e0c78d13 | INFO     | module_admin.controller.login_controller:get_login_user_routers:95 - 获取成功
2025-05-14 00:20:31.564 | 9ee6a072538b4287aa7f6f002aa21b7e | INFO     | module_generator.controller.gen_controller:get_gen_table_list:33 - 获取成功
2025-05-14 00:20:35.076 | 90aaa3e2a5714ed2b3a24db476af955c | INFO     | module_generator.controller.gen_controller:delete_gen_table:92 - 删除成功
2025-05-14 00:20:35.139 | 5f576066ea7a43979f8bbd44cbf1973a | INFO     | module_generator.controller.gen_controller:get_gen_table_list:33 - 获取成功
